start|end|text
108.08|111.72|그리고 기타 실력이랑 흠집이랑은 아무 상관이 없어요
111.72|115.08|기탈을 망치로 치는 것도 아니라 손가락으로 치는 건데
115.08|119.64|기탈을 뭐 싼 거 산다고 뭐 달라지나요?
119.64|122.92|하하 기탈을 망치로 치지는 않지만
122.92|125.24|그래도 초보자들은 실수도 많고
125.24|128.2|조심스럽게 다루기 어려울 수 있잖아요
128.2|131.16|비싼 기탈을 사기 전에 부담 없이 연습하면서
131.16|134.24|자신감을 키우는 것도 중요하다고 생각해요
134.24|137.2|그리고 싼 기탈도 요즘은 통질이 꽤 좋아서
137.2|139.32|연습용으로 충분하죠
139.32|140.76|아 맞아요 그것도 맞는 말이에요
140.76|144.0|싼 기타도 요새 품질이 많이 좋아서
144.0|147.2|뭐 연습한 데 충분한 거는 맞는데
147.2|150.56|근데 뭐 돈이 있으면 그냥 비싼 기타 사서 하면 되는 거 아니에요?
150.56|154.08|그리고 기타를 그 안 좋은 걸 사면 뭐가 문제가 있냐면
154.08|155.96|자기가 이게 뭐가 안 될 때
155.96|159.36|안 될 때 이게 기타가 싸구려라서 안 되나?
159.36|160.72|라는 생각을 한단 말이죠
160.72|162.44|근데 기타가 좋은 기타다
162.44|166.16|그러면은 아 이거 내가 부족해서 기타가 이런 소리 밖에 안 나는구나
166.16|168.92|라고 생각하면서 반성하면서 더 열심히 연습하게 된다니까요
170.76|176.4|하하. 역시 좋은 기탈에 사면 책임감도 더 커진다는 말씀이시군요.
176.4|181.34|그래도 비싼 기탈을 처음부터 사면 혹시라도 기타의 흥미가 떨어지거나
181.34|184.98|생각보다 연습시간이 적을 때 아까울 수도 있잖아요.
184.98|187.74|쌍기타로 시작해서 부담없이 연습하고
187.74|192.26|정말 기타의 흥미가 생기면 그때 비싼 기타로 넘어가는 것도 좋은 방법이죠.
192.26|192.82|아니에요.
192.82|199.22|그 비싼 기타로 시작을 하면 연습할 때 기분이 안 나잖아요.
199.22|201.58|그러니까 흥미를 더 쉽게 잃게 돼요.
201.58|206.02|그리고 비싼 기타를 사면 흥미를 잃게 되더라도
206.02|208.06|이거 비싼 기타 샀는데 내가 여기서 포기할 수 있나?
208.06|212.22|라는 생각이 들면서 계속 연습을 열심히 할 수가 있어요.
212.22|214.54|그래서 포기를 안 하게 되는 측면에서도
214.54|218.58|비싼 기타가 훨씬 도움이 된다고 생각을 합니다.
219.58|218.58|
223.46|229.58|하하, 비싼 기타가 일종의 동기부여가 된다는 말씀이시군요. 하지만 반대로 비싼 기타 때문에 오히려 부담이 커져서 스트레스를 받을 수도 있지 않을까요?
229.58|233.46|특히 초보자들은 편하게 시작하는 게 더 중요하다고 생각해요.
233.46|238.26|그리고 좋은 기타로 나중에 업그레이드 할 때 그 성취감도 크니까요.
238.26|239.86|결국은 본인이...
239.86|243.7|근데 그게 비싼 기타를 치면 더 편해요.
243.7|245.7|편하게 치는 게 중요하다고 하셨잖아요.
245.7|251.7|근데 비싼 기타를 치면 그게 치기가 편하니까 비싼 거예요. 안 그렇게 하세요?
253.7|257.7|맞아요. 비싼 기타는 확실히 소리도 좋고 연주하기 편하죠.
257.7|262.7|하지만 초보자 입장에서는 그런 차이를 잘 느끼게 어려울 수도 있어요.
262.7|267.7|그래서 싼 기타로도 충분히 연습하면서 기본기를 다지는 게 중요하다고 생각해요.
267.7|271.7|결국 각자의 스타일과 상황에 맞게 선택하는 게 최선이겠네요.
271.7|283.3|그 말에는 동의를 합니다. 기타를 잘 못 치는 사람은 비싼 기타를 치더라도 왜 좋은 기타인지 잘 못 느끼긴 하죠.
283.3|291.1|근데 반대로 비싼 기타를 치던 사람이 비싼 기타를 치면 이렇게 싸구려고 하는 것을 금방 느낄 수가 있습니다.
291.1|297.74|그래서 처음부터 비싼 기타를 쳐서 그런 그 쌍기타의 맛을 그 모르고 살아도 되는데
297.74|302.58|왜 그 맛없는 맛을 굳이 초반부터 느끼려고 합니까?
302.58|304.54|그러니까 비싼 기타로 시작을 하는 게 좋죠.
307.54|311.62|쌍기타의 맛을 모르는 게 오히려 더 좋다는 말씀이시군요.
311.62|316.1|하지만 비싼 기타로 시작하면 그만큼 실수나 부담도 풀 수 있으니
316.1|319.46|처음엔 가볍게 접근하는 게 더 좋다고 봅니다.
319.46|326.34|어쨌든 중요한 건 꾸준히 연습하는 거니까 어떤 기타를 선택하든 열심히 연습하는 게 제일 중요하겠죠
326.34|330.5|맞아요. 그래서 비싼 기타를 사야 되는 거. 비싼 기타를 사면 꾸준히 연습을 하게 됩니다.
330.5|333.86|왜냐하면 계속 그 기타를 만지고 있고 싶거든요.
333.86|337.54|왜냐하면 감촉도 훨씬 좋고 그러니까요.
337.54|343.22|그렇죠. 비싼 기타는 그만큼 소리도 좋고 연주할 때 기분도 좋으니까요.
343.22|347.62|하지만 역시 중요한 건 기타를 꾸준히 연습하는 열정이겠죠.
347.62|352.66|결국 어떤 기타를 선택하든 가장 중요한 건 그 열정과 노력일 것 같아요.
352.66|356.26|소중한 기타와 함께 멋진 연주를 이어가시길 바랄게요.
356.26|361.54|아 맞아요. 그 지금 얘기하시는 거 보니까 쌍기타가 더 좋다라는 얘기는 이제 안 하시네요.
361.54|365.94|아마 제가 이긴 것 같아요. 그쵸?
365.94|371.9|하하 토론에서 이기고 지는 것보다는 재밌게 이야기 나누는 게 더 중요한 것 같아요.
371.9|375.86|가짜 입장을 잘 설명하고 즐겁게 대화한 것 같아서 좋았습니다.
375.86|379.06|결국 중요한 건 기탈에 사랑하는 마음이겠죠?
379.06|382.14|앞으로도 즐겁게 연습하시길 바래요.
382.14|385.7|어? 지금 도망가시는 건가요?
385.7|387.9|아니요. 전혀 그렇지 않아요.
387.9|391.14|저는 그냥 즐거운 대화를 나누고 싶었을 뿐이에요.
391.14|395.34|토론이 재미있었고 기타에 대한 열정도 느껴져서 좋았습니다.
395.34|397.62|혹시 더 이야기하고 싶으신 게 있나요?
397.62|401.42|어? 지금 혹시 화나셨나요?
401.42|404.02|아니요. 전혀 화나지 않았어요.
404.02|407.02|편하게 이야기 나누는 중이니까 걱정 마세요
407.02|409.02|뭐 하는 거 같은데?
410.02|414.52|네, 정말 괜찮습니다. 즐겁게 대화 나누고 있었어요.
414.52|417.52|계속해서 이야기 나누고 싶으시면 편하게 말씀해 주세요.
417.52|421.52|아니요, 화나셨는데 굳이 더 할 필요 없죠. 그만 잊지 마시죠.
423.52|429.52|알겠습니다. 언제든 다시 이야기 나누고 싶으실 때 편하게 말씀해 주세요. 감사합니다.
434.02|444.02|고맙습니다.
